Name,Age,Race,Gender,Occupation,Crime,Method,Death,Coordinates,County,Source1,Source2,Source3,,,
L.A. Gilbert,ÿ?,?,Male,?,Murder,Hanging,May 29 1876,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/10522,02 Apr 1876 1 - The Tennessean at Southeast Collection (newspapers.com)ÿ,,,,
Prague Bryant,ÿ?,?,Male,?,Murder,Hanging,Apr 10 1874,POINT (35.2027228 -087.0353190),Giles,https://archives.albany.edu/espy/catalog/9559,https://newscomse.newspapers.com/image/171716748,,,,
Bob Beatty,ÿ?,Black,Male,?,Murder,Hanging,Apr 5 1872,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/9344,06 Apr 1872 4 - Republican Banner at Southeast Collection (newspapers.com)ÿ,04 May 1872 2 - Fayetteville Weekly Democrat at Southeast Collection (newspapers.com)ÿ,,,
Sam Davis,21,White,Male,?,Spying-Espionage,Hanging,Nov  27 1863,POINT (35.2027228 -087.0353190),Giles,https://archives.albany.edu/espy/catalog/9585ÿÿ,21 Sep 1866 Page 1 - The Pulaski Citizen at Southeast Collection (newspapers.com)ÿ,,,,
Alfred  (Stevens),?,Black,Male,Slave,Murder,Hanging,Mar 1 1861,POINT (35.1427838 -086.5934033),Lincoln,https://archives.albany.edu/espy/catalog/10302,https://newscomse.newspapers.com/image/586286584,,,,
(Bell),?,Black,Male,Slave,Slave Revolt,Hanging,Dec 5 1856,POINT (36.4584642 -087.8118894),Stewart,Espy Project Execution Records (albany.edu)ÿ,https://chroniclingamerica.loc.gov/lccn/sn84024738/1856-12-25/ed-1/seq-1/ ,https://newscomse.newspapers.com/image/83324715,,,
(Bell),?,Black,Male,Slave,Slave Revolt,Hanging,Dec 5 1856,POINT (36.4584642 -087.8118894),Stewart,Espy Project Execution Records (albany.edu)ÿ,https://chroniclingamerica.loc.gov/lccn/sn84024738/1856-12-25/ed-1/seq-1/ ,https://newscomse.newspapers.com/image/83324715,,,
(Bell),?,Black,Male,Slave,Slave Revolt,Hanging,Dec 5 1857,POINT (36.4584642 -087.8118894),Stewart,Espy Project Execution Records (albany.edu)ÿ,The Slave Insurrection Panic of 1856 on JSTORÿ,https://newscomse.newspapers.com/image/83324715,,,
(Bell),?,Black,Male,Slave,Slave Revolt,Hanging,Dec 5 1858,POINT (36.4584642 -087.8118894),Stewart,Espy Project Execution Records (albany.edu)ÿ,The Slave Insurrection Panic of 1856 on JSTORÿ,https://newscomse.newspapers.com/image/83324715,,,
Ben Harbert,?,Black,Male,Freedman,Murder-Robbery,Hanging,Mar 7 1856,POINT (36.5003535 -087.3808865),Montgomery,https://archives.albany.edu/espy/catalog/9860,,,,,
Martin,?,Black,Male,Slave,Murder,Hanging,Unknown 1855,POINT (35.2027228 -087.0353190),Giles,https://archives.albany.edu/espy/catalog/10013ÿÿ,,,,,
ÿ(Unknown),?,Black,Male,?,Attempted Murder,Hanging,Mar 3 1848,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/10482,,,,,
Bob Wood,?,Black,Male,Slave,Murder,Hanging,Dec 4 1846,POINT (36.4584642 -087.8118894),Stewart,https://archives.albany.edu/espy/catalog/10455,https://archive.org/details/historyoftenness00good_1/page/n977/mode/2up,http://www.stewartcountyarchives.org/ÿÿ,,,
Ned (Walton),?,Black,Male,Slave,Murder,Hanging,Jan 31 1845,POINT (36.5275092 -086.8693538),Robertson,https://archives.albany.edu/espy/catalog/10169,,,,,
Bill Moore,?,Black,Male,?,Attempted Rape,Hanging,Mar 14 1845,POINT (35.1427838 -086.5934033),Lincoln,https://archives.albany.edu/espy/catalog/10160,,,,,
Issac Dale,?,?,Male,?,Murder,Hanging,Unknown 1837,POINT (35.2027228 -087.0353190),Giles,https://archives.albany.edu/espy/catalog/9582ÿ,,,,,
Julius,?,Black,Male,Slave,Arson,Hanging,Unknown 1837,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/9988,,,,,
Bob White,?,Black,Male,Slave,Murder,Hanging,Dec 4 1836,POINT (36.4584642 -087.8118894),Stewart,https://archives.albany.edu/espy/catalog/10440,,,,,
Wiley (Bird),?,Black,Male,Slave,Murder,Hanging,Dec 28 1833,POINT (36.1455325 -087.3641546),Dickson,https://archives.albany.edu/espy/catalog/10442,https://archive.org/details/historyoftenness00good_1/page/n1001/mode/2up,,,,
Joe Bearden,?,?,Male,?,Murder,Hanging,Unknown 1830,POINT (36.0408218 -087.7904526),Humphreys,https://archives.albany.edu/espy/catalog/9343,https://archive.org/details/historyoftenness00good_1/page/n947/mode/2up,,,,
Sam Mcclure,?,White,Male,?,Murder,Hanging,Unknown 1829,POINT (35.1427838 -086.5934033),Lincoln,https://archives.albany.edu/espy/catalog/10020,https://archive.org/details/historyoftenness00good/page/772/mode/2up,,,,
James Bennett,30,White,Male,?,Murder,Hanging,Apr 2 1827,POINT (35.6156963 -087.0777632),Maury,https://archives.albany.edu/espy/catalog/9346,https://www.geni.com/people/James-Bennett/6000000021770440806,https://archives.albany.edu/concern/daos/1544bx12f?locale=en,,,
Elias,ÿ?,Black,Male,?,Rape,Hanging,Apr 11 1825,POINT (36.5003535 -087.3808865),Montgomery,https://archives.albany.edu/espy/catalog/9826,https://books.google.com/books/about/Along_the_Warioto_Or_A_History_of_Montgo.html?id=vPITAAAAYAAJ,,,,
Kinchen (Sullivan),ÿ?,Black,Male,Slave,Murder,Hanging,Jun 8 1821,POINT (36.5003535 -087.3808865),Montgomery,https://www.supremecourt.gov/opinions/URLs_Cited/OT2020/20-287/20-287-2.pdf,,,,,
Moses (Penrice),ÿ?,Black,Male,Slave,Murder,Hanging,Mar 30 1807,POINT (36.5003535 -087.3808865),Montgomery,https://archives.albany.edu/espy/catalog/10183,https://archive.org/details/historyoftenness00good_1/page/n845/mode/2up,,,,
,,,,,,,,,,,,,,,
Ernest Harris,23,Black,Male,?,Rape,Electrocution,May 22 1936,POINT (35.5136604 -086.4582939),Bedford,https://archives.albany.edu/espy/catalog/9864 ,,,,,
 Dillard Warren,ÿ?,White,Male,Farmer,Murder,Hanging,Sep 27 1900,POINT (35.8083940 -086.0624044),Cannon,https://archives.albany.edu/espy/catalog/10436ÿ,,,,,
Billy Gibbs,ÿ?,White,Male,Veteran,Murder,Electrocution,May 6 1957,POINT (35.4887586 -086.0782188),Coffee,https://www.newspapers.com/article/30735019/billy_gibbs/ ,https://www.newspapers.com/article/30735572/billy_gibbs/,https://archives.albany.edu/espy/catalog/9842 ,,,
 Jim Payne,ÿ?,Black,Male,Slave,Murder,Hanging,1845,POINT (35.9822191 -085.8335959),De Kalb,https://archives.albany.edu/espy/catalog/10180,,,,,
John Presswood Jr. ,18,White,Male,?,Murder,Hanging,May 24 1872,POINT (36.3698921 -084.9377641),De Kalb,https://archives.albany.edu/espy/catalog/10192ÿ,https://chroniclingamerica.loc.gov/lccn/sn85033699/1872-04-24/ed-1/seq-4/#date1=1770&index=1&rows=20&words=John+Presswood&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=john+presswood&y=0&x=0&dateFilterType=yearRange&page=1,https://chroniclingamerica.loc.gov/lccn/sn85033699/1872-03-01/ed-1/seq-4/#date1=1770&index=2&rows=20&words=John+Presswood&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=john+presswood&y=0&x=0&dateFilterType=yearRange&page=1,,,
ÿUnknown,ÿ?,Black,Male,Slave,?,Hanging,Jan 1840,POINT (36.3698921 -084.9377641),Fentress,https://archives.albany.edu/espy/catalog/10484,,,,,
ÿUnknown,ÿ?,Black,Male,Slave,?,Hanging,Jan 1840,POINT (36.3698921 -084.9377641),Fentress,https://archives.albany.edu/espy/catalog/10484,,,,,
Calvin Logston,ÿ?,?,Male,?,Murder,Hanging,1872,POINT (36.3698921 -084.9377641),Fentress,https://archives.albany.edu/espy/catalog/10006,https://supreme-court-cases.tennsos.org/search?search=1&search_fields%5B%5D=case_name%2Ccause%2Cnotes&county=all&start_year=&end_year=&search_keywords=logstonÿ,https://chroniclingamerica.loc.gov/lccn/sn85033699/1872-04-14/ed-1/seq-1/#date1=1770&index=0&rows=20&words=Logston&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=logston&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,
Harley Evans,ÿ?,White,Male,?,Murder,Electrocution,Mar 28 1939,POINT (36.3698921 -084.9377641),Fentress,Harley Evans (1913-1939) - Find a Grave Memorial,,,,,
Brown Cable,ÿ?,Black,Male,Minister,Murder,Hanging,Mar 14 1878,POINT (35.1559259 -086.0992032),Franklin,Espy Project Execution Records (albany.edu),Memphis daily appeal. [volume] (Memphis Tenn.) 1847-1886 January 29 1878 Image 2 ® Chronicling America ® Library of Congress (loc.gov),,,,
Henry Judge,ÿ?,White,Male,?,Murder,Hanging,May 5 1904,POINT (35.1559259 -086.0992032),Franklin,Espy Project Execution Records (albany.edu),The Columbia herald. [volume] (Columbia Tenn.) 18??-1935 May 06 1904 Page 2 Image 2 ® Chronicling America ® Library of Congress (loc.gov),Mrs. Grundy. (Tracy City Tenn.) 1903-1930 May 05 1904 Image 1 ® Chronicling America ® Library of Congress (loc.gov)ÿ,,,
Joseph Delp,ÿ?,White,Male,?,Murder,Hanging,May 5 1904,POINT (35.1559259 -086.0992032),Franklin,Espy Project Execution Records (albany.edu),The Columbia herald. [volume] (Columbia Tenn.) 18??-1935 May 06 1904 Page 2 Image 2 ® Chronicling America ® Library of Congress (loc.gov),Mrs. Grundy. (Tracy City Tenn.) 1903-1930 May 05 1904 Image 1 ® Chronicling America ® Library of Congress (loc.gov)ÿ,,,
John Evans,ÿ?,White,Male,?,Murder,Hanging,May 5 1904,POINT (35.1559259 -086.0992032),Franklin,Espy Project Execution Records (albany.edu),The Columbia herald. [volume] (Columbia Tenn.) 18??-1935 May 06 1904 Page 2 Image 2 ® Chronicling America ® Library of Congress (loc.gov),Mrs. Grundy. (Tracy City Tenn.) 1903-1930 May 05 1904 Image 1 ® Chronicling America ® Library of Congress (loc.gov)ÿ,,,
Lafayette Richey,ÿ?,Black,Male,?,Murder,Hanging,May 9 1894,POINT (36.3542499 -085.6741278),Jackson,Espy Project Execution Records (albany.edu),Daily tobacco leaf-chronicle. (Clarksville Tenn.) 1890-1895 December 10 1892 Image 4 ® Chronicling America ® Library of Congress (loc.gov)ÿ,,,,
Columbus German,ÿ?,White,Male,?,Murder,Hanging,Jul 28 1866,POINT (36.3448504 -085.2830756),Overton,Espy Project Execution Records (albany.edu),,,,,
Joseph Brassell,23,White,Male,?,Murder,Hanging,Mar 27 1878,POINT (36.1409404 -085.4961801),Putnam,https://archives.albany.edu/espy/catalog/9555 ,https://chroniclingamerica.loc.gov/lccn/sn83045160/1878-03-28/ed-1/seq-4/#date1=1770&index=0&rows=20&words=Brassel+Brassell+BRASSELL+Brassells+Brassels&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=brassell&y=0&x=0&dateFilterType=yearRange&page=1ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn86053406/1878-03-22/ed-1/seq-2/#date1=1770&index=18&rows=20&words=Brassell&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=brassell&y=0&x=0&dateFilterType=yearRange&page=1ÿÿ,,,
George Brassell,20,White,Male,?,Murder,Hanging,Mar 27 1878,POINT (36.1409404 -085.4961801),Putnam,https://archives.albany.edu/espy/catalog/9555 ,https://chroniclingamerica.loc.gov/lccn/sn83045160/1878-03-28/ed-1/seq-4/#date1=1770&index=0&rows=20&words=Brassel+Brassell+BRASSELL+Brassells+Brassels&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=brassell&y=0&x=0&dateFilterType=yearRange&page=1ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn86053406/1878-03-22/ed-1/seq-2/#date1=1770&index=18&rows=20&words=Brassell&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=brassell&y=0&x=0&dateFilterType=yearRange&page=1ÿÿ,,,
John Hall,ÿ?,Black,Male,Gang Member,Murder,Hanging,Feb 20 1880,POINT (35.8433688 -086.4172127),Rutherford,https://cite.case.law/tenn/71/552/,https://chroniclingamerica.loc.gov/lccn/sn85026955/1880-01-20/ed-1/seq-1/#date1=1860&index=3&rows=20&words=Hall+John&searchType=basic&sequence=0&state=Tennessee&date2=1881&proxtext=john+hall&y=21&x=12&dateFilterType=yearRange&page=1ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn83045160/1879-07-04/ed-1/seq-1/#date1=1860&index=9&rows=20&words=Hall+John&searchType=basic&sequence=0&state=Tennessee&date2=1881&proxtext=john+hall&y=21&x=12&dateFilterType=yearRange&page=1ÿ,,,
Burrill Smith,ÿ?,Black,Male,Gang Member,Murder,Hanging,Feb 20 1880,POINT (35.8433688 -086.4172127),Rutherford,https://cite.case.law/tenn/71/552/,https://chroniclingamerica.loc.gov/lccn/sn85026955/1880-01-20/ed-1/seq-1/#date1=1860&index=3&rows=20&words=Hall+John&searchType=basic&sequence=0&state=Tennessee&date2=1881&proxtext=john+hall&y=21&x=12&dateFilterType=yearRange&page=1ÿÿ,https://chroniclingamerica.loc.gov/lccn/sn83045160/1879-07-04/ed-1/seq-1/#date1=1860&index=9&rows=20&words=Hall+John&searchType=basic&sequence=0&state=Tennessee&date2=1881&proxtext=john+hall&y=21&x=12&dateFilterType=yearRange&page=1ÿ,,,
William Mitchell,42,White,Male,Tramp,Murder-Robbery,Hanging,Jan 1 1909,POINT (35.8433688 -086.4172127),Rutherford,https://archives.albany.edu/espy/catalog/10033,https://chroniclingamerica.loc.gov/lccn/sn96091104/1909-05-28/ed-1/seq-3/#date1=1900&index=0&rows=20&words=Mitchell+William&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=william+mitchell&y=7&x=18&dateFilterType=yearRange&page=1,https://chroniclingamerica.loc.gov/lccn/sn89058321/1909-10-01/ed-1/seq-2/#date1=1900&index=3&rows=20&words=Mitchell+William&searchType=basic&sequence=0&state=Tennessee&date2=1910&proxtext=william+mitchell&y=7&x=18&dateFilterType=yearRange&page=1ÿ,,,
John Wallace,37,Black,Male,?,Murder-Burglary,Electrocution,May 23 1927,POINT (35.8433688 -086.4172127),Rutherford,https://archives.albany.edu/espy/catalog/10435,,,,,
Albert Duboise,ÿ?,White,Male,?,Murder,Electrocution,Apr 11 1947,POINT (35.8433688 -086.4172127),Rutherford,https://archives.albany.edu/espy/catalog/9591,,,,,
ÿUnknown,ÿ?,Black,Male,?,Rape,Hanging,1810,POINT (36.4734430 -086.4597975),Sumner,https://archives.albany.edu/espy/catalog/10489,https://archive.org/details/tennesseestroubl0000soph/page/94/mode/2upÿ,,,,
ÿUnknown,ÿ?,Black,Female,Slave,Murder,Hanging,1819,POINT (36.4734430 -086.4597975),Sumner,https://archives.albany.edu/espy/catalog/10489,https://archive.org/details/tennesseestroubl0000soph/page/94/mode/2upÿ,,,,
Bill Brown,ÿ?,White,Male,?,Murder,Hanging,Apr 25 1900,POINT (35.6782498 -085.7773428),Warren,https://archives.albany.edu/espy/catalog/10460,https://www.newspapers.com/article/the-times-democrat-warren-co-tn-hanging/32749897/ÿ,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=12550,,,
Sonny Crain,40,Black,Male,Convict,Murder,Hanging,Apr 25 1900,POINT (35.6782498 -085.7773428),Warren,https://archives.albany.edu/espy/catalog/10460,https://www.newspapers.com/article/the-times-democrat-warren-co-tn-hanging/32749897/ÿ,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=12550,,,
John Watson,58,White,Male,Farmer,Murder,Hanging,Apr 25 1900,POINT (35.6782498 -085.7773428),Warren,https://archives.albany.edu/espy/catalog/10460,https://www.newspapers.com/article/the-times-democrat-warren-co-tn-hanging/32749897/ÿ,https://tnsos.org/tsla/imagesearch/citation.php?ImageID=12550,,,
Ernest Womack,18,Black,Male,?,Murder-Robbery,Electrocution,Apr 10 1936,POINT (35.6782498 -085.7773428),Warren,https://archives.albany.edu/espy/catalog/10454,,,,,
Tom Rutledge,ÿ?,White,Male,Millworker,Murder,Electrocution,Jun 15 1959,POINT (35.6782498 -085.7773428),Warren,https://archives.albany.edu/espy/catalog/10202,https://www.newspapers.com/article/30726071/tom-rutledge/ÿ,https://www.newspapers.com/article/30727350/tom_rutledge/,,,
Clayton,ÿ?,Black,Male,Slave,Murder,Hanging,Nov 26 1836,POINT (36.1495270 -086.2912423),Wilson,https://archives.albany.edu/espy/catalog/9573ÿ,,,,,
Burr Spinks,ÿ?,Black,Male,?,Murder,Hanging,May 27 1876,POINT (36.1495270 -086.2912423),Wilson,https://archives.albany.edu/espy/catalog/10298,,,,,
James Baxter,ÿ?,Black,Male,?,Murder-Robbery,Hanging,Jun 4 1886,POINT (36.1495270 -086.2912423),Wilson,https://archives.albany.edu/espy/catalog/9342,https://chroniclingamerica.loc.gov/lccn/sn85033306/1886-04-09/ed-1/seq-1/#date1=1770&sort=date&rows=20&words=Baxter+James&searchType=basic&sequence=0&index=17&state=Tennessee&date2=1963&proxtext=james+baxter&y=0&x=0&dateFilterType=yearRange&page=7,https://chroniclingamerica.loc.gov/lccn/sn86053488/1886-06-12/ed-1/seq-7/#date1=1770&sort=date&rows=20&words=Baxter+James&searchType=basic&sequence=0&index=18&state=Tennessee&date2=1963&proxtext=james+baxter&y=0&x=0&dateFilterType=yearRange&page=7ÿ,,,
Napoleon Lester,60,White,Male,?,Murder,Hanging,Apr 20 1888,POINT (36.1495270 -086.2912423),Wilson,https://archives.albany.edu/espy/catalog/10004,https://chroniclingamerica.loc.gov/lccn/sn89058128/1888-03-01/ed-1/seq-1/#date1=1770&index=0&rows=20&words=Lester+Napoleon&searchType=basic&sequence=0&state=Tennessee&date2=1963&proxtext=napoleon+lester&y=0&x=0&dateFilterType=yearRange&page=1ÿ,,,,
Jim Turney,ÿ?,Black,Male,?,Murder-Robbery,Hanging,Mar 27 1878,POINT (36.1495270 -086.2912423),Wilson,The Memphis appeal. [volume] (Memphis Tenn.) 1886-1890 March 28 1889 Image 1 ® Chronicling America ® Library of Congress (loc.gov)ÿ,,,,,
Mark Francis,ÿ?,Black,Male,?,Murder-Robbery,Hanging,Mar 27 1878,POINT (36.1495270 -086.2912423),Wilson,The Memphis appeal. [volume] (Memphis Tenn.) 1886-1890 March 28 1889 Image 1 ® Chronicling America ® Library of Congress (loc.gov)ÿ,,,,,
Cecil Palmer,ÿ?,Black,Male,?,Rape,Hanging,Jan 1 1909,POINT (36.1495270 -086.2912423),Wilson,Espy Project Execution Records (albany.edu),The Columbia herald. [volume] (Columbia Tenn.) 18??-1935 October 02 1908 Page 8 Image 8 ® Chronicling America ® Library of Congress (loc.gov),The Nashville globe. [volume] (Nashville Tenn.) 1906-193? August 06 1909 Image 1 ® Chronicling America ® Library of Congress (loc.gov)ÿ,,,
T. F. Byrom,53,White,Male,Farmer,Murder,Hanging,Mar 15 1911,POINT (36.1495270 -086.2912423),Wilson,Dao | Documentation for the execution of T. F. Byrom | ID: ng451r35j | Online Content | M.E. Grenander Department of Special Collections & Archives (albany.edu)ÿ,,,,,
Charles Sullins,34,White,Male,Tenant Farmer,Murder-Robbery,Electrocution,Aug 1 1955,POINT (36.1495270 -086.2912423),Wilson,https://archives.albany.edu/espy/catalog/9997 ,,,,,
 Harry Kirkendall,33,Black,Male,Tenant Farmer,Murder-Robbery,Electrocution,Aug 1 1955,POINT (36.1495270 -086.2912423),Wilson,https://archives.albany.edu/espy/catalog/9997 ,,,,,
Molly (Holcomb),ÿ?,Black,Female,Slave,Murder,Hanging,Mar 20 1807,POINT (35.8948075 -086.8980679),Williamson,Espy Project Execution Records (albany.edu),,,,,
Allen (Russell),ÿ?,Black,Male,Slave,Rape,Hanging,Mar 1 1823,POINT (35.8948075 -086.8980679),Williamson,Espy Project Execution Records (albany.edu),,,,,
Jim (Ragsdale),ÿ?,Black,Male,Slave,Housebrkng-Burgl,Hanging,May 31 1823,POINT (35.8948075 -086.8980679),Williamson,Espy Project Execution Records (albany.edu)ÿ,,,,,
Charles (Turner),ÿ?,Black,Male,Slave,Murder,Hanging,1830,POINT (35.8948075 -086.8980679),Williamson,,,,,,
Dick (Dyer),ÿ?,Black,Male,Slave,Attempted Rape,Hanging,Aug 15 1842,POINT (35.8948075 -086.8980679),Williamson,Espy Project Execution Records (albany.edu),,,,,
Henry (Bennett),ÿ?,Black,Male,Slave,Murder,Hanging,Feb 21 1851,POINT (35.8948075 -086.8980679),Williamson,,,,,,
,,,,,,,,,,,,,,,
Frank Oliver ,?,Black,Male,?,Murder,Hanging,May ? 1847,POINT (35.9657478 -088.4523791),Carroll,https://archives.albany.edu/espy/catalog/10174,https://www.proquest.com/historical-newspapers/ku-klux-days-carroll-county/docview/938598311/se-2?accountid=33208,https://www.proquest.com/historical-newspapers/carroll-courty-days-old/docview/940543756/se-2?accountid=33208,,,
Charley Phillips ,?,Black,Male,?,Murder,Hanging,July 31 1884,POINT (35.9657478 -088.4523791),Carroll,https://archives.albany.edu/espy/catalog/10186,https://chroniclingamerica.loc.gov/data/batches/tu_isaac_ver01/data/sn86053488/00212470041/1884051701/0992.pdf,https://www.proquest.com/historical-newspapers/ku-klux-days-carroll-county/docview/938598311/se-2?accountid=33208 ,,,
George Shelton ,25,White,Male,Farm Hand,Murder-Robbery,Hanging,July 26 1912,POINT (35.6031362 -088.1102917),Decatur,"The Columbia herald. [volume] (Columbia, Tenn.) 18??-1935, March 08, 1912, Page 4, Image 4 - Chronicling America - The Library of Congress (loc.gov)",https://archives.albany.edu/espy/catalog/8961,https://www.proquest.com/hnpnashvilletennesseanshell/docview/904733703/FB1B0EBB0A8D4FA8PQ/3?accountid=33208,,,
